<<<<<<< HEAD
Date,Open,High,Low,Close,Adj Close,Volume
1998-06-19,0.208333,0.21875,0.197917,0.208333,0.19956,61454400
1998-06-22,0.207031,0.210938,0.205729,0.208333,0.19956,6979200
1998-06-23,0.207682,0.210938,0.200521,0.208333,0.19956,9638400
1998-06-24,0.208333,0.213542,0.205729,0.213542,0.204549,1732800
1998-06-25,0.21875,0.244792,0.217448,0.234375,0.224505,18417600
1998-06-26,0.236979,0.265625,0.233073,0.252604,0.241967,10267200
1998-06-29,0.252604,0.268229,0.252604,0.259115,0.248203,4588800
1998-06-30,0.264323,0.264323,0.247396,0.251302,0.240719,4747200
1998-07-01,0.25,0.252604,0.247396,0.247396,0.236978,16401600
1998-07-02,0.25,0.252604,0.247396,0.25,0.239472,3355200
1998-07-06,0.252604,0.252604,0.247396,0.252604,0.241967,2208000
1998-07-07,0.252604,0.252604,0.247396,0.251302,0.240719,3652800
1998-07-08,0.252604,0.252604,0.247396,0.252604,0.241967,1286400
1998-07-09,0.251302,0.325521,0.25,0.294271,0.281879,14769600
1998-07-10,0.294271,0.302083,0.294271,0.299479,0.286868,1291200
1998-07-13,0.30599,0.307292,0.28776,0.28776,0.275642,5025600
1998-07-14,0.291667,0.317708,0.286458,0.315104,0.301835,5457600
1998-07-15,0.322917,0.369792,0.320313,0.333333,0.319296,8016000
1998-07-16,0.332031,0.338542,0.3125,0.325521,0.311813,4713600
1998-07-17,0.328125,0.335938,0.322917,0.335938,0.321791,974400
1998-07-20,0.335938,0.365885,0.333333,0.351563,0.336758,5347200
1998-07-21,0.369792,0.385417,0.364583,0.372396,0.356714,10684800
1998-07-22,0.380208,0.382813,0.322917,0.361979,0.346736,4641600
1998-07-23,0.361979,0.372396,0.328125,0.351563,0.336758,2116800
1998-07-24,0.351563,0.351563,0.322917,0.335938,0.321791,1881600
1998-07-27,0.333333,0.338542,0.320313,0.335938,0.321791,46747200
1998-07-28,0.335938,0.335938,0.309896,0.320313,0.306824,3052800
1998-07-29,0.328125,0.333333,0.3125,0.333333,0.319296,2534400
1998-07-30,0.330729,0.341146,0.320313,0.341146,0.32678,3014400
1998-07-31,0.34375,0.34375,0.325521,0.333333,0.319296,921600
1998-08-03,0.328125,0.335938,0.325521,0.330729,0.316802,4032000
1998-08-04,0.332031,0.339844,0.325521,0.332031,0.318049,3633600
1998-08-05,0.333333,0.369792,0.330729,0.345052,0.330521,8592000
1998-08-06,0.33724,0.341146,0.333333,0.334635,0.320543,211200
1998-08-07,0.35026,0.364583,0.347656,0.354167,0.339253,3302400
1998-08-10,0.377604,0.377604,0.351563,0.355469,0.3405,2184000
1998-08-11,0.361979,0.361979,0.322917,0.351563,0.336758,2265600
1998-08-12,0.359375,0.369792,0.354167,0.356771,0.341747,1320000
1998-08-13,0.364583,0.372396,0.359375,0.364583,0.34923,1699200
1998-08-14,0.367188,0.375,0.364583,0.372396,0.356714,2092800
1998-08-17,0.371094,0.371094,0.359375,0.361979,0.346736,2284800
1998-08-18,0.369792,0.407552,0.369792,0.395833,0.379164,9902400
1998-08-19,0.403646,0.408854,0.390625,0.390625,0.374175,6028800
1998-08-20,0.395833,0.403646,0.382813,0.382813,0.366692,1041600
1998-08-21,0.369792,0.375,0.34375,0.375,0.359208,3796800
1998-08-24,0.393229,0.393229,0.355469,0.372396,0.356714,2697600
1998-08-25,0.385417,0.401042,0.38151,0.393229,0.37667,4881600
1998-08-26,0.376302,0.384115,0.364583,0.365885,0.350477,6859200
1998-08-27,0.346354,0.364583,0.320313,0.328125,0.314307,7881600
1998-08-28,0.328125,0.338542,0.309896,0.322917,0.309319,4603200
1998-08-31,0.328125,0.328125,0.25,0.25,0.239472,6499200
1998-09-01,0.257813,0.330729,0.240885,0.3125,0.29934,5654400
1998-09-02,0.315104,0.346354,0.302083,0.309896,0.296846,4756800
1998-09-03,0.270833,0.302083,0.270833,0.296875,0.284373,2174400
1998-09-04,0.296875,0.317708,0.286458,0.302083,0.289362,1459200
1998-09-08,0.317708,0.346354,0.304688,0.338542,0.324286,2947200
1998-09-09,0.330729,0.33724,0.307292,0.326823,0.31306,1368000
1998-09-10,0.3125,0.324219,0.307292,0.324219,0.310566,6283200
1998-09-11,0.325521,0.325521,0.3125,0.324219,0.310566,403200
1998-09-14,0.330729,0.341146,0.324219,0.328125,0.314307,662400
1998-09-15,0.333333,0.333333,0.317708,0.317708,0.304329,796800
1998-09-16,0.31901,0.31901,0.307292,0.3125,0.29934,1262400
1998-09-17,0.299479,0.309896,0.299479,0.30599,0.293104,2899200
1998-09-18,0.304688,0.309896,0.304688,0.309896,0.296846,129600
1998-09-21,0.299479,0.322917,0.299479,0.322917,0.309319,1377600
1998-09-22,0.317708,0.322917,0.315104,0.315104,0.301835,2164800
1998-09-23,0.320313,0.341146,0.315104,0.333333,0.319296,3364800
1998-09-24,0.322917,0.338542,0.317708,0.320313,0.306824,1651200
1998-09-25,0.322917,0.338542,0.322917,0.328125,0.314307,1790400
1998-09-28,0.333333,0.338542,0.328125,0.328125,0.314307,1536000
1998-09-29,0.330729,0.341146,0.322917,0.334635,0.320543,1684800
1998-09-30,0.322917,0.328125,0.322917,0.322917,0.309319,1540800
1998-10-01,0.317708,0.325521,0.3125,0.320313,0.306824,1296000
1998-10-02,0.320313,0.335938,0.320313,0.335938,0.321791,1065600
1998-10-05,0.330729,0.333333,0.320313,0.322917,0.309319,4780800
1998-10-06,0.320313,0.320313,0.268229,0.270833,0.259428,3484800
1998-10-07,0.252604,0.260417,0.25,0.255208,0.244461,1200000
1998-10-08,0.244792,0.25,0.145833,0.192708,0.184593,8822400
1998-10-09,0.21875,0.236979,0.21875,0.229167,0.219516,2395200
1998-10-12,0.244792,0.25,0.226563,0.226563,0.217022,1507200
1998-10-13,0.260417,0.302083,0.25,0.261719,0.250698,13166400
1998-10-14,0.260417,0.260417,0.239583,0.257813,0.246956,2841600
1998-10-15,0.265625,0.276042,0.265625,0.270833,0.259428,1128000
1998-10-16,0.27474,0.278646,0.268229,0.278646,0.266912,816000
1998-10-19,0.278646,0.309896,0.278646,0.304688,0.291857,2203200
1998-10-20,0.309896,0.333333,0.309896,0.322917,0.309319,3336000
1998-10-21,0.348958,0.352865,0.333333,0.345052,0.330521,23275200
1998-10-22,0.365885,0.369792,0.345052,0.364583,0.34923,6619200
1998-10-23,0.369792,0.401042,0.36849,0.380208,0.364197,7248000
1998-10-26,0.395833,0.445313,0.393229,0.429688,0.411593,12955200
1998-10-27,0.5,0.502604,0.442708,0.473958,0.453999,19128000
1998-10-28,0.492188,0.497396,0.447917,0.460938,0.441527,11107200
1998-10-29,0.453125,0.463542,0.414063,0.4375,0.419076,10032000
1998-10-30,0.427083,0.46875,0.427083,0.464844,0.445269,6288000
1998-11-02,0.486979,0.488281,0.473958,0.479167,0.458989,7689600
1998-11-03,0.47526,0.481771,0.464844,0.473958,0.453999,3259200
1998-11-04,0.484375,0.484375,0.457031,0.470052,0.450257,3868800
1998-11-05,0.458333,0.46875,0.375,0.421875,0.404109,9230400
1998-11-06,0.416667,0.416667,0.377604,0.395833,0.379164,10396800
1998-11-09,0.403646,0.411458,0.385417,0.411458,0.394131,4819200
1998-11-10,0.415365,0.419271,0.40625,0.419271,0.401615,1132800
1998-11-11,0.419271,0.419271,0.395833,0.398438,0.381659,3480000
