Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.0,4.032724,3.945999,3.989362,1.703369,271547
1980-03-18,0.0,4.003816,3.945999,3.974907,1.697197,376188
1980-03-19,0.0,4.104995,4.01827,4.047179,1.728055,858746
1980-03-20,0.0,4.047179,4.01827,4.032724,1.721885,144422
1980-03-21,0.0,4.032724,3.989362,4.032724,1.721885,106370
1980-03-24,0.0,4.003816,3.888182,3.888182,1.660169,744593
1980-03-25,0.0,3.902636,3.830365,3.84482,1.641654,112424
1980-03-26,0.0,3.902636,3.830365,3.859274,1.647825,94263
1980-03-27,0.0,3.84482,3.815911,3.830365,1.635481,133179
1980-03-28,0.0,4.047179,3.859274,4.003816,1.70954,152205
1980-03-31,0.0,4.032724,3.989362,4.01827,1.715713,181608
1980-04-01,0.0,4.01827,3.931545,3.960453,1.691026,336407
1980-04-02,0.0,3.931545,3.815911,3.902636,1.666339,1004898
1980-04-03,0.0,3.815911,3.729186,3.772549,1.610795,418563
1980-04-07,0.0,3.801457,3.74364,3.787003,1.616966,635628
1980-04-08,0.0,3.84482,3.729186,3.815911,1.629309,486882
1980-04-09,0.0,3.960453,3.873728,3.945999,1.684855,211876
1980-04-10,0.0,4.047179,3.989362,4.047179,1.728055,40646
1980-04-11,0.0,4.235083,4.104995,4.235083,1.808288,82156
1980-04-14,0.0,4.235083,4.191721,4.191721,1.789772,133179
1980-04-15,0.0,4.191721,4.133904,4.162812,1.777428,142692
1980-04-16,0.0,4.133904,4.061633,4.076087,1.7404,457479
1980-04-17,0.0,4.076087,3.931545,3.931545,1.678683,449696
1980-04-18,0.0,3.960453,3.815911,3.84482,1.641654,270682
1980-04-21,0.0,3.815911,3.772549,3.787003,1.616966,140098
1980-04-22,0.0,4.076087,3.815911,4.076087,1.7404,378782
1980-04-23,0.0,4.162812,4.032724,4.090541,1.746571,315652
1980-04-24,0.0,4.220629,4.076087,4.191721,1.789772,84750
1980-04-25,0.0,4.307354,4.177266,4.263992,1.82063,35457
1980-04-28,0.0,4.2929,4.235083,4.278446,1.826802,110694
1980-04-29,0.0,4.350717,4.249537,4.321809,1.845317,255981
1980-04-30,0.0,4.39408,4.2929,4.39408,1.876176,267223
1980-05-01,0.0,4.480805,4.379625,4.379625,1.870003,677138
1980-05-02,0.0,4.365171,4.321809,4.336263,1.851488,364081
1980-05-05,0.0,4.39408,4.365171,4.365171,1.863832,681462
1980-05-06,0.0,4.408534,4.321809,4.379625,1.870003,608819
1980-05-07,0.0,4.379625,4.278446,4.278446,1.826802,327759
1980-05-08,0.0,4.278446,4.162812,4.162812,1.777428,134044
